cn.dat auto written
1 2
1985  2020
1  7
1
5703  	9638  	14816  	3069  	691  	241  	135
11008  	7489  	4944  	3095  	486  	184  	80
3092  	29531  	3893  	1143  	524  	110  	62
2866  	7320  	11987  	1184  	258  	152  	64
1311  	2031  	4305  	2711  	275  	74  	51
1823  	4178  	2242  	1633  	803  	94  	50
4569  	7913  	2636  	614  	296  	227  	65
13556  	9405  	3577  	640  	126  	83  	72
1724  	15008  	4488  	1052  	166  	10  	33
3193  	6584  	13038  	1821  	105  	20  	13
3381  	18047  	5845  	5768  	1180  	132  	4
23060  	27642  	18328  	1079  	2146  	114  	4
17895  	2836  	30135  	2853  	372  	333  	78
20027  	22827  	2935  	6221  	710  	112  	78
3601  	34143  	13789  	1910  	1319  	254  	94
4065  	12123  	24066  	3484  	206  	258  	49
3929  	16966  	8091  	5664  	918  	67  	98
2741  	12056  	9916  	1888  	1051  	291  	18
1955  	19464  	5761  	1596  	267  	196  	66
3062  	3613  	12318  	2158  	379  	129  	85
1368  	19465  	2403  	3773  	393  	102  	54
1498  	4846  	13469  	648  	644  	82  	16
480  	7265  	3653  	4201  	446  	233  	34
131  	1743  	3818  	1307  	979  	264  	128
758  	2697  	2344  	1332  	573  	221  	90
720  	6521  	2025  	1182  	577  	165  	65
476  	1861  	4801  	1554  	312  	88  	45
761  	2770  	2238  	2836  	581  	73  	14
1705  	2729  	3204  	1467  	890  	318  	70
1085  	6328  	2250  	1268  	203  	168  	31
577  	3423  	5202  	622  	301  	50  	68
200  	2380  	2482  	1559  	243  	68  	37
991  	554  	1498  	606  	327  	59  	32
74  	3326  	262  	492  	174  	87  	24
328  	108  	7896  	183  	191  	41  	19
362  	402  	80  	2276  	57  	19  	5
